timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
2026-01-23 12:46:15,NIFTY-27Jan2026-25300-CE-NA,BUY,65,89.9,Traded,11322601238940,260123_1,,,,2026-01-23 07:16:15,CE,"t260123_1=timestamp('GMT',2026,1,23,7,16,15)",,"line.new(t260123_1,low,t260123_1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260123_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-23 13:13:33,NIFTY-27Jan2026-25300-CE-NA,SELL,65,64.65,Traded,13922601237336,260123_2,-25.2,-1641,27:18,2026-01-23 07:43:33,CE,"t260123_2=timestamp('GMT',2026,1,23,7,43,33)","line.new(t260123_2,low,t260123_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260123_2,low,t260123_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260123_2,low,t260123_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260123_2, high * 1.02, text=str.tostring(-25.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-23 13:34:48,NIFTY-27Jan2026-25300-CE-NA,BUY,65,42.25,Traded,115226012311145,260123_3,,,,2026-01-23 08:04:48,CE,"t260123_3=timestamp('GMT',2026,1,23,8,4,48)",,"line.new(t260123_3,low,t260123_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260123_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-23 13:35:34,NIFTY-27Jan2026-25300-CE-NA,SELL,65,41.85,Traded,12322601238382,260123_4,-0.4,-26,00:46,2026-01-23 08:05:34,CE,"t260123_4=timestamp('GMT',2026,1,23,8,5,34)","line.new(t260123_4,low,t260123_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260123_4,low,t260123_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260123_4,low,t260123_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260123_4, high * 1.02, text=str.tostring(-0.4), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-23 13:35:57,NIFTY-27Jan2026-25500-CE-NA,BUY,260,15.05,Traded,111226012311121,260123_5,,,,2026-01-23 08:05:57,CE,"t260123_5=timestamp('GMT',2026,1,23,8,5,57)",,"line.new(t260123_5,low,t260123_5,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260123_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-23 13:36:07,NIFTY-27Jan2026-25500-CE-NA,SELL,260,14.85,Traded,13922601238275,260123_6,-0.2,-52,00:10,2026-01-23 08:06:07,CE,"t260123_6=timestamp('GMT',2026,1,23,8,6,7)","line.new(t260123_6,low,t260123_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260123_6,low,t260123_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260123_6,low,t260123_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260123_6, high * 1.02, text=str.tostring(-0.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-23 14:16:43,NIFTY-27Jan2026-25500-CE-NA,BUY,260,15.0,Traded,14022601239608,260123_7,,,,2026-01-23 08:46:43,CE,"t260123_7=timestamp('GMT',2026,1,23,8,46,43)",,"line.new(t260123_7,low,t260123_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260123_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-23 14:23:09,NIFTY-27Jan2026-25500-CE-NA,SELL,260,13.15,Traded,13122601239790,260123_8,-1.8,-481,06:26,2026-01-23 08:53:09,CE,"t260123_8=timestamp('GMT',2026,1,23,8,53,9)","line.new(t260123_8,low,t260123_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260123_8,low,t260123_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260123_8,low,t260123_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260123_8, high * 1.02, text=str.tostring(-1.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
