timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
1/6/2026 9:16,NIFTY-06Jan2026-26400-PE,BUY,65,170.55,Traded,1.24E+12,260106_1,,,,1/6/2026 3:46,PE,"t260106_1=timestamp('GMT',2026,1,6,3,46,54)",,"line.new(t260106_1,low,t260106_1,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260106_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/6/2026 9:30,NIFTY-06Jan2026-26400-PE,SELL,65,219.4,Traded,1.24E+13,260106_2,48.8,3175,13:24,1/6/2026 4:00,PE,"t260106_2=timestamp('GMT',2026,1,6,4,0,18)","line.new(t260106_2,low,t260106_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260106_2,low,t260106_2,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260106_2,low,t260106_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260106_2, high * 1.02, text=str.tostring(48.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
1/6/2026 9:45,NIFTY-06Jan2026-26200-CE,BUY,130,46.55,Traded,1.37E+13,260106_3,,,,1/6/2026 4:15,CE,"t260106_3=timestamp('GMT',2026,1,6,4,15,33)",,"line.new(t260106_3,low,t260106_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260106_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/6/2026 9:52,NIFTY-06Jan2026-26200-CE,SELL,130,57.1,Traded,1.15E+13,260106_4,10.6,1372,6:34,1/6/2026 4:22,CE,"t260106_4=timestamp('GMT',2026,1,6,4,22,7)","line.new(t260106_4,low,t260106_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260106_4,low,t260106_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260106_4,low,t260106_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260106_4, high * 1.02, text=str.tostring(10.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
1/6/2026 10:51,NIFTY-06Jan2026-26300-PE,BUY,130,98.8,Traded,1.22E+13,260106_5,,,,1/6/2026 5:21,PE,"t260106_5=timestamp('GMT',2026,1,6,5,21,57)",,"line.new(t260106_5,low,t260106_5,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260106_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/6/2026 10:53,NIFTY-06Jan2026-26300-PE,SELL,130,97.15,Traded,1.12E+13,260106_6,-1.6,-214,1:40,1/6/2026 5:23,PE,"t260106_6=timestamp('GMT',2026,1,6,5,23,37)","line.new(t260106_6,low,t260106_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260106_6,low,t260106_6,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260106_6,low,t260106_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260106_6, high * 1.02, text=str.tostring(-1.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
1/6/2026 12:01,NIFTY-06Jan2026-26300-PE,BUY,65,132.15,Traded,1.27E+13,260106_7,,,,1/6/2026 6:31,PE,"t260106_7=timestamp('GMT',2026,1,6,6,31,45)",,"line.new(t260106_7,low,t260106_7,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260106_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/6/2026 12:03,NIFTY-06Jan2026-26300-PE,SELL,65,123.5,Traded,1.31E+13,260106_8,-8.7,-562,2:06,1/6/2026 6:33,PE,"t260106_8=timestamp('GMT',2026,1,6,6,33,51)","line.new(t260106_8,low,t260106_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260106_8,low,t260106_8,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260106_8,low,t260106_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260106_8, high * 1.02, text=str.tostring(-8.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
1/6/2026 12:28,NIFTY-06Jan2026-26200-CE,BUY,520,13.8,Traded,1.18E+13,260106_9,,,,1/6/2026 6:58,CE,"t260106_9=timestamp('GMT',2026,1,6,6,58,34)",,"line.new(t260106_9,low,t260106_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260106_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/6/2026 13:02,NIFTY-06Jan2026-26200-CE,SELL,520,18.2,Traded,1.30E+13,260106_10,4.4,2288,34:01:00,1/6/2026 7:32,CE,"t260106_10=timestamp('GMT',2026,1,6,7,32,35)","line.new(t260106_10,low,t260106_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260106_10,low,t260106_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260106_10,low,t260106_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260106_10, high * 1.02, text=str.tostring(4.4), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
