timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
12/31/2025 10:30,NIFTY-06Jan2026-26200-CE,BUY,65,45.4,Traded,1.39E+13,251231_1,,,,12/31/2025 5:00,CE,"t251231_1=timestamp('GMT',2025,12,31,5,0,51)",,"line.new(t251231_1,low,t251231_1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251231_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/31/2025 10:31,NIFTY-06Jan2026-26200-CE,SELL,65,48.9,Traded,1.14E+13,251231_2,3.5,228,0:51,12/31/2025 5:01,CE,"t251231_2=timestamp('GMT',2025,12,31,5,1,42)","line.new(t251231_2,low,t251231_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251231_2,low,t251231_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251231_2,low,t251231_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251231_2, high * 1.02, text=str.tostring(3.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/31/2025 11:50,NIFTY-06Jan2026-26200-CE,BUY,65,57.75,Traded,1.12E+13,251231_3,,,,12/31/2025 6:20,CE,"t251231_3=timestamp('GMT',2025,12,31,6,20,3)",,"line.new(t251231_3,low,t251231_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251231_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/31/2025 11:55,NIFTY-06Jan2026-26200-CE,SELL,65,56.2,Traded,1.11E+13,251231_4,-1.5,-101,5:19,12/31/2025 6:25,CE,"t251231_4=timestamp('GMT',2025,12,31,6,25,22)","line.new(t251231_4,low,t251231_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251231_4,low,t251231_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251231_4,low,t251231_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t251231_4, high * 1.02, text=str.tostring(-1.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
12/31/2025 13:27,NIFTY-06Jan2026-26200-CE,BUY,65,97.85,Traded,1.23E+13,251231_5,,,,12/31/2025 7:57,CE,"t251231_5=timestamp('GMT',2025,12,31,7,57,32)",,"line.new(t251231_5,low,t251231_5,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251231_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/31/2025 13:28,NIFTY-06Jan2026-26200-CE,SELL,65,98.75,Traded,1.31E+13,251231_6,0.9,59,1:10,12/31/2025 7:58,CE,"t251231_6=timestamp('GMT',2025,12,31,7,58,42)","line.new(t251231_6,low,t251231_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251231_6,low,t251231_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251231_6,low,t251231_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251231_6, high * 1.02, text=str.tostring(0.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/31/2025 13:41,NIFTY-06Jan2026-26200-CE,BUY,65,91.75,Traded,1.29E+13,251231_7,,,,12/31/2025 8:11,CE,"t251231_7=timestamp('GMT',2025,12,31,8,11,7)",,"line.new(t251231_7,low,t251231_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251231_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/31/2025 13:42,NIFTY-06Jan2026-26200-CE,SELL,65,95,Traded,1.30E+13,251231_8,3.2,211,1:21,12/31/2025 8:12,CE,"t251231_8=timestamp('GMT',2025,12,31,8,12,28)","line.new(t251231_8,low,t251231_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251231_8,low,t251231_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251231_8,low,t251231_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251231_8, high * 1.02, text=str.tostring(3.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/31/2025 13:44,NIFTY-06Jan2026-26200-CE,BUY,65,94.35,Traded,1.17E+14,251231_9,,,,12/31/2025 8:14,CE,"t251231_9=timestamp('GMT',2025,12,31,8,14,38)",,"line.new(t251231_9,low,t251231_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251231_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/31/2025 13:45,NIFTY-06Jan2026-26200-CE,SELL,65,96.6,Traded,1.32E+13,251231_10,2.2,146,1:16,12/31/2025 8:15,CE,"t251231_10=timestamp('GMT',2025,12,31,8,15,54)","line.new(t251231_10,low,t251231_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251231_10,low,t251231_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251231_10,low,t251231_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251231_10, high * 1.02, text=str.tostring(2.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
