timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
1/27/2026 9:18,NIFTY-27Jan2026-24900-PE-NA,BUY,65,52.15,Traded,1.34226E+12,260127_1,,,,1/27/2026 3:48,PE,"t260127_1=timestamp('GMT',2026,1,27,3,48,4)",,"line.new(t260127_1,low,t260127_1,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260127_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/27/2026 9:38,NIFTY-27Jan2026-24900-PE-NA,SELL,65,30,Traded,1.18226E+13,260127_2,-22.1,-1440,20:34,1/27/2026 4:08,PE,"t260127_2=timestamp('GMT',2026,1,27,4,8,38)","line.new(t260127_2,low,t260127_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260127_2,low,t260127_2,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260127_2,low,t260127_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260127_2, high * 1.02, text=str.tostring(-22.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
1/27/2026 9:38,NIFTY-27Jan2026-25300-CE-NA,BUY,65,22.3,Traded,1.23226E+13,260127_3,,,,1/27/2026 4:08,CE,"t260127_3=timestamp('GMT',2026,1,27,4,8,47)",,"line.new(t260127_3,low,t260127_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260127_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/27/2026 10:44,NIFTY-27Jan2026-25300-CE-NA,SELL,65,8.55,Traded,1.24226E+13,260127_4,-13.8,-894,65:16:00,1/27/2026 5:14,CE,"t260127_4=timestamp('GMT',2026,1,27,5,14,3)","line.new(t260127_4,low,t260127_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260127_4,low,t260127_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260127_4,low,t260127_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260127_4, high * 1.02, text=str.tostring(-13.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
1/27/2026 10:47,NIFTY-27Jan2026-24800-PE-NA,BUY,65,13.05,Traded,1.14226E+13,260127_5,,,,1/27/2026 5:17,PE,"t260127_5=timestamp('GMT',2026,1,27,5,17,2)",,"line.new(t260127_5,low,t260127_5,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260127_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/27/2026 10:51,NIFTY-27Jan2026-25000-PE-NA,BUY,65,66.3,Traded,1.34226E+13,260127_6,,,,1/27/2026 5:21,PE,"t260127_6=timestamp('GMT',2026,1,27,5,21,16)",,"line.new(t260127_6,low,t260127_6,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260127_6?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/27/2026 14:45,NIFTY-27Jan2026-25000-PE-NA,SELL,65,2.8,Traded,1.18226E+14,260127_7,-63.5,-4128,234:12:00,1/27/2026 9:15,PE,"t260127_7=timestamp('GMT',2026,1,27,9,15,28)","line.new(t260127_7,low,t260127_7,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260127_7,low,t260127_7,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260127_7,low,t260127_7,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260127_7, high * 1.02, text=str.tostring(-63.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
1/27/2026 14:45,NIFTY-27Jan2026-24800-PE-NA,SELL,65,0.5,Traded,1.21226E+14,260127_8,-12.6,-816,0:00,1/27/2026 9:15,PE,"t260127_8=timestamp('GMT',2026,1,27,9,15,28)","line.new(t260127_8,low,t260127_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260127_8,low,t260127_8,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260127_8,low,t260127_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260127_8, high * 1.02, text=str.tostring(-12.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
1/27/2026 14:46,NIFTY-27Jan2026-25200-CE-NA,BUY,130,8.05,Traded,1.38226E+14,260127_9,,,,1/27/2026 9:16,CE,"t260127_9=timestamp('GMT',2026,1,27,9,16,26)",,"line.new(t260127_9,low,t260127_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260127_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/27/2026 14:55,NIFTY-27Jan2026-25200-CE-NA,SELL,130,18.05,Traded,1.38226E+14,260127_10,10,1300,8:57,1/27/2026 9:25,CE,"t260127_10=timestamp('GMT',2026,1,27,9,25,23)","line.new(t260127_10,low,t260127_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260127_10,low,t260127_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260127_10,low,t260127_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260127_10, high * 1.02, text=str.tostring(10.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
