timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
12/18/2025 9:21,SENSEX-18Dec2025-84700-CE,BUY,40,61.15,Traded,1.15E+13,251218_1,,,,12/18/2025 3:51,CE,"t251218_1=timestamp('GMT',2025,12,18,3,51,47)",,"line.new(t251218_1,low,t251218_1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251218_1?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/18/2025 9:23,SENSEX-18Dec2025-84700-CE,BUY,40,62.6,Traded,1.17E+13,251218_2,,,,12/18/2025 3:53,CE,"t251218_2=timestamp('GMT',2025,12,18,3,53,17)",,"line.new(t251218_2,low,t251218_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251218_2?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/18/2025 9:26,SENSEX-18Dec2025-85000-CE,BUY,180,19.45,Traded,1.11E+13,251218_3,,,,12/18/2025 3:56,CE,"t251218_3=timestamp('GMT',2025,12,18,3,56,16)",,"line.new(t251218_3,low,t251218_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251218_3?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/18/2025 10:20,SENSEX-18Dec2025-84700-CE,SELL,80,89.15,Traded,1.12E+13,251218_4,26.55,2124,54:18:00,12/18/2025 4:50,CE,"t251218_4=timestamp('GMT',2025,12,18,4,50,34)","line.new(t251218_4,low,t251218_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251218_4,low,t251218_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251218_4,low,t251218_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251218_4, high * 1.02, text=str.tostring(69.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/18/2025 10:20,SENSEX-18Dec2025-85000-CE,SELL,180,24.45,Traded,1.13E+13,251218_5,5,900,0:00,12/18/2025 4:50,CE,"t251218_5=timestamp('GMT',2025,12,18,4,50,34)","line.new(t251218_5,low,t251218_5,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251218_5,low,t251218_5,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251218_5,low,t251218_5,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t251218_5, high * 1.02, text=str.tostring(-64.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
12/18/2025 12:27,SENSEX-18Dec2025-84700-CE,BUY,100,102.05,Traded,1.17E+14,251218_6,,,,12/18/2025 6:57,CE,"t251218_6=timestamp('GMT',2025,12,18,6,57,35)",,"line.new(t251218_6,low,t251218_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251218_6?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/18/2025 12:35,SENSEX-18Dec2025-84700-CE,SELL,100,112.21,Traded,1.13E+14,251218_7,10.2,1020,8:05,12/18/2025 7:05,CE,"t251218_7=timestamp('GMT',2025,12,18,7,5,40)","line.new(t251218_7,low,t251218_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251218_7,low,t251218_7,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251218_7,low,t251218_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251218_7, high * 1.02, text=str.tostring(10.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/18/2025 13:04,SENSEX-18Dec2025-84800-CE,BUY,220,48.1,Traded,1.12E+14,251218_8,,,,12/18/2025 7:34,CE,"t251218_8=timestamp('GMT',2025,12,18,7,34,30)",,"line.new(t251218_8,low,t251218_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t251218_8?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/18/2025 13:08,SENSEX-18Dec2025-84800-CE,SELL,220,48.5,Traded,1.12E+14,251218_9,0.4,88,3:53,12/18/2025 7:38,CE,"t251218_9=timestamp('GMT',2025,12,18,7,38,23)","line.new(t251218_9,low,t251218_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t251218_9,low,t251218_9,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t251218_9,low,t251218_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t251218_9, high * 1.02, text=str.tostring(0.4), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/18/2025 13:34,SENSEX-18Dec2025-84800-PE,BUY,40,227.65,Traded,1.19E+14,251218_10,,,,12/18/2025 8:04,PE,"t251218_10=timestamp('GMT',2025,12,18,8,4,59)",,"line.new(t251218_10,low,t251218_10,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t251218_10?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
