timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
12/11/2025 9:18,NIFTY-16Dec2025-26100-CE,BUY,75,30.25,Traded,1.32225E+12,1,,,,12/11/2025 3:48,CE,"t1=timestamp('GMT',2025,12,11,3,48,51)",,"line.new(t1,low,t1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t1?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 9:19,NIFTY-16Dec2025-26100-CE,SELL,75,31,Traded,1.15225E+12,2,0.8,60,0:51,12/11/2025 3:49,CE,"t2=timestamp('GMT',2025,12,11,3,49,42)","line.new(t2,low,t2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t2,low,t2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t2,low,t2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t2, high * 1.02, text=str.tostring(0.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 9:24,NIFTY-16Dec2025-26000-CE,BUY,75,52.7,Traded,1.28225E+12,3,,,,12/11/2025 3:54,CE,"t3=timestamp('GMT',2025,12,11,3,54,22)",,"line.new(t3,low,t3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t3?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 9:28,NIFTY-16Dec2025-26000-CE,SELL,75,57.2,Traded,1.13225E+13,4,4.5,338,4:34,12/11/2025 3:58,CE,"t4=timestamp('GMT',2025,12,11,3,58,56)","line.new(t4,low,t4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t4,low,t4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t4,low,t4,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t4, high * 1.02, text=str.tostring(4.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 9:38,NIFTY-16Dec2025-25600-PE,BUY,75,55.2,Traded,1.24225E+12,5,,,,12/11/2025 4:08,PE,"t5=timestamp('GMT',2025,12,11,4,8,18)",,"line.new(t5,low,t5,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t5?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 9:43,NIFTY-16Dec2025-25600-PE,SELL,75,60.05,Traded,1.13225E+13,6,4.8,360,5:29,12/11/2025 4:13,PE,"t6=timestamp('GMT',2025,12,11,4,13,47)","line.new(t6,low,t6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t6,low,t6,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t6,low,t6,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t6, high * 1.02, text=str.tostring(4.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 9:49,NIFTY-16Dec2025-25900-CE,BUY,75,67.7,Traded,1.24225E+13,7,,,,12/11/2025 4:19,CE,"t7=timestamp('GMT',2025,12,11,4,19,30)",,"line.new(t7,low,t7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t7?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 9:49,NIFTY-16Dec2025-25900-CE,SELL,75,69,Traded,1.22225E+13,8,1.3,98,0:08,12/11/2025 4:19,CE,"t8=timestamp('GMT',2025,12,11,4,19,38)","line.new(t8,low,t8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t8,low,t8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t8,low,t8,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t8, high * 1.02, text=str.tostring(1.3), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 9:54,NIFTY-16Dec2025-26000-CE,BUY,75,41.35,Traded,1.22225E+13,9,,,,12/11/2025 4:24,CE,"t9=timestamp('GMT',2025,12,11,4,24,54)",,"line.new(t9,low,t9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t9?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 10:15,NIFTY-16Dec2025-26000-CE,SELL,75,62.05,Traded,1.36225E+13,10,20.7,1552,20:35,12/11/2025 4:45,CE,"t10=timestamp('GMT',2025,12,11,4,45,29)","line.new(t10,low,t10,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t10,low,t10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t10,low,t10,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t10, high * 1.02, text=str.tostring(20.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 11:25,NIFTY-16Dec2025-26100-CE,BUY,150,32.15,Traded,1.12225E+14,11,,,,12/11/2025 5:55,CE,"t11=timestamp('GMT',2025,12,11,5,55,12)",,"line.new(t11,low,t11,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t11?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 12:05,NIFTY-16Dec2025-26100-CE,SELL,150,46.9,Traded,1.40225E+13,12,14.8,2220,40:11:00,12/11/2025 6:35,CE,"t12=timestamp('GMT',2025,12,11,6,35,23)","line.new(t12,low,t12,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t12,low,t12,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t12,low,t12,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t12, high * 1.02, text=str.tostring(14.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 13:05,NIFTY-16Dec2025-25700-PE,BUY,150,40.4,Traded,1.12225E+14,13,,,,12/11/2025 7:35,PE,"t13=timestamp('GMT',2025,12,11,7,35,1)",,"line.new(t13,low,t13,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t13?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 13:09,NIFTY-16Dec2025-25700-PE,SELL,150,40.75,Traded,1.15225E+14,14,0.4,60,4:15,12/11/2025 7:39,PE,"t14=timestamp('GMT',2025,12,11,7,39,16)","line.new(t14,low,t14,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t14,low,t14,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t14,low,t14,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t14, high * 1.02, text=str.tostring(0.4), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 13:18,NIFTY-16Dec2025-26100-CE,BUY,225,35.3,Traded,1.31225E+13,15,,,,12/11/2025 7:48,CE,"t15=timestamp('GMT',2025,12,11,7,48,38)",,"line.new(t15,low,t15,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t15?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 13:50,NIFTY-16Dec2025-26100-CE,SELL,225,36.95,Traded,1.20225E+14,16,1.7,382,31:43:00,12/11/2025 8:20,CE,"t16=timestamp('GMT',2025,12,11,8,20,21)","line.new(t16,low,t16,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t16,low,t16,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t16,low,t16,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t16, high * 1.02, text=str.tostring(1.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 14:18,SENSEX-11Dec2025-84900-CE,BUY,300,20.9,Traded,1.14425E+14,17,,,,12/11/2025 8:48,CE,"t17=timestamp('GMT',2025,12,11,8,48,42)",,"line.new(t17,low,t17,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t17?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 14:30,SENSEX-11Dec2025-84900-CE,SELL,300,53.2033,Traded,1.18425E+14,18,32.3,9690,12:12,12/11/2025 9:00,CE,"t18=timestamp('GMT',2025,12,11,9,0,54)","line.new(t18,low,t18,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t18,low,t18,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t18,low,t18,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t18, high * 1.02, text=str.tostring(32.3), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
12/11/2025 14:56,SENSEX-11Dec2025-84900-CE,BUY,1000,5.1,Traded,1.19425E+14,19,,,,12/11/2025 9:26,CE,"t19=timestamp('GMT',2025,12,11,9,26,0)",,"line.new(t19,low,t19,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t19?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 14:56,SENSEX-11Dec2025-84900-CE,BUY,1000,5.3,Traded,1.20425E+14,20,,,,12/11/2025 9:26,CE,"t20=timestamp('GMT',2025,12,11,9,26,0)",,"line.new(t20,low,t20,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t20?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
12/11/2025 15:06,SENSEX-11Dec2025-84900-CE,SELL,1000,2.05,Traded,1.13425E+14,21,-3.05,-3050,10:18,12/11/2025 9:36,CE,"t21=timestamp('GMT',2025,12,11,9,36,18)","line.new(t21,low,t21,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t21,low,t21,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t21,low,t21,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t21, high * 1.02, text=str.tostring(-3.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
12/11/2025 15:06,SENSEX-11Dec2025-84900-CE,SELL,1000,2.1,Traded,1.15425E+14,22,-3.2,-3200,0:01,12/11/2025 9:36,CE,"t22=timestamp('GMT',2025,12,11,9,36,19)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t22, high * 1.02, text=str.tostring(0.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
