timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
2/4/2026 9:31,SENSEX-05Feb2026-84200-CE-NA,BUY,40,167.825,Traded,1.13426E+13,260204_1,,,,2/4/2026 4:01,CE,"t260204_1=timestamp('GMT',2026,2,4,4,1,4)",,"line.new(t260204_1,low,t260204_1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260204_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/4/2026 9:32,SENSEX-05Feb2026-84200-CE-NA,SELL,40,180.45,Traded,1.19426E+13,260204_2,12.6,505,1:01,2/4/2026 4:02,CE,"t260204_2=timestamp('GMT',2026,2,4,4,2,5)","line.new(t260204_2,low,t260204_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260204_2,low,t260204_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260204_2,low,t260204_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260204_2, high * 1.02, text=str.tostring(12.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
2/4/2026 9:59,NIFTY-10Feb2026-25900-CE-NA,BUY,65,124.4,Traded,1.38226E+13,260204_3,,,,2/4/2026 4:29,CE,"t260204_3=timestamp('GMT',2026,2,4,4,29,11)",,"line.new(t260204_3,low,t260204_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260204_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/4/2026 10:37,NIFTY-10Feb2026-25900-CE-NA,SELL,65,97.2,Traded,1.34226E+13,260204_4,-27.2,-1768,38:46:00,2/4/2026 5:07,CE,"t260204_4=timestamp('GMT',2026,2,4,5,7,57)","line.new(t260204_4,low,t260204_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260204_4,low,t260204_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260204_4,low,t260204_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260204_4, high * 1.02, text=str.tostring(-27.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2/4/2026 10:38,NIFTY-10Feb2026-25600-PE-NA,BUY,65,116,Traded,1.37226E+13,260204_5,,,,2/4/2026 5:08,PE,"t260204_5=timestamp('GMT',2026,2,4,5,8,48)",,"line.new(t260204_5,low,t260204_5,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260204_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/4/2026 12:41,NIFTY-10Feb2026-25600-PE-NA,SELL,65,89.7,Traded,1.21226E+13,260204_6,-26.3,-1709,122:36:00,2/4/2026 7:11,PE,"t260204_6=timestamp('GMT',2026,2,4,7,11,24)","line.new(t260204_6,low,t260204_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260204_6,low,t260204_6,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260204_6,low,t260204_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260204_6, high * 1.02, text=str.tostring(-26.3), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2/4/2026 12:42,SENSEX-05Feb2026-84200-CE-NA,BUY,60,104.1,Traded,1.17426E+14,260204_7,,,,2/4/2026 7:12,CE,"t260204_7=timestamp('GMT',2026,2,4,7,12,2)",,"line.new(t260204_7,low,t260204_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260204_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/4/2026 12:55,SENSEX-05Feb2026-84200-CE-NA,SELL,60,75.3,Traded,1.19426E+14,260204_8,-28.8,-1728,13:26,2/4/2026 7:25,CE,"t260204_8=timestamp('GMT',2026,2,4,7,25,28)","line.new(t260204_8,low,t260204_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260204_8,low,t260204_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260204_8,low,t260204_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260204_8, high * 1.02, text=str.tostring(-28.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2/4/2026 12:56,SENSEX-05Feb2026-83600-PE-NA,BUY,20,255,Traded,1.20426E+14,260204_9,,,,2/4/2026 7:26,PE,"t260204_9=timestamp('GMT',2026,2,4,7,26,26)",,"line.new(t260204_9,low,t260204_9,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260204_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/4/2026 13:13,SENSEX-05Feb2026-83600-PE-NA,SELL,20,224.85,Traded,1.17426E+14,260204_10,-30.2,-603,16:43,2/4/2026 7:43,PE,"t260204_10=timestamp('GMT',2026,2,4,7,43,9)","line.new(t260204_10,low,t260204_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260204_10,low,t260204_10,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260204_10,low,t260204_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260204_10, high * 1.02, text=str.tostring(-30.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2/4/2026 13:30,SENSEX-05Feb2026-84200-CE-NA,BUY,40,112,Traded,1.12426E+14,260204_11,,,,2/4/2026 8:00,CE,"t260204_11=timestamp('GMT',2026,2,4,8,0,5)",,"line.new(t260204_11,low,t260204_11,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260204_11?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
