timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
2026-01-22 09:36:53,SENSEX-22Jan2026-83100-CE-NA,BUY,40,113.8,Traded,11342601223081,260122_1,,,,2026-01-22 04:06:53,CE,"t260122_1=timestamp('GMT',2026,1,22,4,6,53)",,"line.new(t260122_1,low,t260122_1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260122_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-22 09:39:05,SENSEX-22Jan2026-83100-CE-NA,SELL,40,80.9,Traded,11542601223271,260122_2,-32.9,-1316,02:12,2026-01-22 04:09:05,CE,"t260122_2=timestamp('GMT',2026,1,22,4,9,5)","line.new(t260122_2,low,t260122_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260122_2,low,t260122_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260122_2,low,t260122_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260122_2, high * 1.02, text=str.tostring(-32.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-22 09:48:20,NIFTY-27Jan2026-25700-CE-NA,BUY,65,53.6,Traded,11222601224341,260122_3,,,,2026-01-22 04:18:20,CE,"t260122_3=timestamp('GMT',2026,1,22,4,18,20)",,"line.new(t260122_3,low,t260122_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260122_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-22 09:54:39,NIFTY-27Jan2026-25700-CE-NA,SELL,65,46.1,Traded,12022601224960,260122_4,-7.5,-488,06:19,2026-01-22 04:24:39,CE,"t260122_4=timestamp('GMT',2026,1,22,4,24,39)","line.new(t260122_4,low,t260122_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260122_4,low,t260122_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260122_4,low,t260122_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260122_4, high * 1.02, text=str.tostring(-7.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-22 10:10:45,NIFTY-27Jan2026-25900-CE-NA,BUY,65,15.05,Traded,13822601221843,260122_5,,,,2026-01-22 04:40:45,CE,"t260122_5=timestamp('GMT',2026,1,22,4,40,45)",,"line.new(t260122_5,low,t260122_5,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260122_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-22 10:27:48,NIFTY-27Jan2026-25900-CE-NA,SELL,65,11.05,Traded,12922601222295,260122_6,-4.0,-260,17:03,2026-01-22 04:57:48,CE,"t260122_6=timestamp('GMT',2026,1,22,4,57,48)","line.new(t260122_6,low,t260122_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260122_6,low,t260122_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260122_6,low,t260122_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260122_6, high * 1.02, text=str.tostring(-4.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-22 11:08:44,NIFTY-27Jan2026-24500-PE-NA,BUY,65,13.25,Traded,115226012212774,260122_7,,,,2026-01-22 05:38:44,PE,"t260122_7=timestamp('GMT',2026,1,22,5,38,44)",,"line.new(t260122_7,low,t260122_7,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260122_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-22 11:21:50,NIFTY-27Jan2026-24500-PE-NA,SELL,65,11.85,Traded,13722601223576,260122_8,-1.4,-91,13:06,2026-01-22 05:51:50,PE,"t260122_8=timestamp('GMT',2026,1,22,5,51,50)","line.new(t260122_8,low,t260122_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260122_8,low,t260122_8,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260122_8,low,t260122_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260122_8, high * 1.02, text=str.tostring(-1.4), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-22 12:25:19,SENSEX-22Jan2026-82400-CE-NA,BUY,20,106.55,Traded,115426012219738,260122_9,,,,2026-01-22 06:55:19,CE,"t260122_9=timestamp('GMT',2026,1,22,6,55,19)",,"line.new(t260122_9,low,t260122_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260122_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-22 14:12:58,SENSEX-22Jan2026-82400-CE-NA,SELL,20,13.65,Traded,116426012229798,260122_10,-92.9,-1858,107:39,2026-01-22 08:42:58,CE,"t260122_10=timestamp('GMT',2026,1,22,8,42,58)","line.new(t260122_10,low,t260122_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260122_10,low,t260122_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260122_10,low,t260122_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260122_10, high * 1.02, text=str.tostring(-92.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2026-01-22 14:13:18,SENSEX-22Jan2026-81800-PE-NA,BUY,20,58.15,Traded,113426012229641,260122_11,,,,2026-01-22 08:43:18,PE,"t260122_11=timestamp('GMT',2026,1,22,8,43,18)",,"line.new(t260122_11,low,t260122_11,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260122_11?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2026-01-22 14:20:23,SENSEX-22Jan2026-81800-PE-NA,SELL,20,34.55,Traded,113426012230460,260122_12,-23.6,-472,07:05,2026-01-22 08:50:23,PE,"t260122_12=timestamp('GMT',2026,1,22,8,50,23)","line.new(t260122_12,low,t260122_12,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260122_12,low,t260122_12,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260122_12,low,t260122_12,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260122_12, high * 1.02, text=str.tostring(-23.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
