timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
1/5/2026 9:27,NIFTY-06Jan2026-26300-PE,BUY,130,57.85,Traded,1.40226E+12,260105_1,,,,1/5/2026 3:57,PE,"t260105_1=timestamp('GMT',2026,1,5,3,57,37)",,"line.new(t260105_1,low,t260105_1,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260105_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/5/2026 9:32,NIFTY-06Jan2026-26300-PE,SELL,130,65.15,Traded,1.24226E+12,260105_2,7.3,949,4:47,1/5/2026 4:02,PE,"t260105_2=timestamp('GMT',2026,1,5,4,2,24)","line.new(t260105_2,low,t260105_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260105_2,low,t260105_2,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260105_2,low,t260105_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260105_2, high * 1.02, text=str.tostring(7.3), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
1/5/2026 9:52,NIFTY-06Jan2026-26300-PE,BUY,130,62.3,Traded,1.18226E+13,260105_3,,,,1/5/2026 4:22,PE,"t260105_3=timestamp('GMT',2026,1,5,4,22,7)",,"line.new(t260105_3,low,t260105_3,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260105_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/5/2026 9:53,NIFTY-06Jan2026-26300-PE,SELL,130,59.55,Traded,1.37226E+13,260105_4,-2.8,-358,1:08,1/5/2026 4:23,PE,"t260105_4=timestamp('GMT',2026,1,5,4,23,15)","line.new(t260105_4,low,t260105_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260105_4,low,t260105_4,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260105_4,low,t260105_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260105_4, high * 1.02, text=str.tostring(-2.8), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
1/5/2026 10:07,NIFTY-06Jan2026-26300-CE,BUY,130,73.55,Traded,1.15226E+13,260105_5,,,,1/5/2026 4:37,CE,"t260105_5=timestamp('GMT',2026,1,5,4,37,7)",,"line.new(t260105_5,low,t260105_5,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260105_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/5/2026 10:07,NIFTY-06Jan2026-26300-CE,SELL,130,75.2,Traded,1.16226E+13,260105_6,1.7,215,0:11,1/5/2026 4:37,CE,"t260105_6=timestamp('GMT',2026,1,5,4,37,18)","line.new(t260105_6,low,t260105_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260105_6,low,t260105_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260105_6,low,t260105_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260105_6, high * 1.02, text=str.tostring(1.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
1/5/2026 10:08,NIFTY-06Jan2026-26300-CE,BUY,65,80.55,Traded,1.38226E+13,260105_7,,,,1/5/2026 4:38,CE,"t260105_7=timestamp('GMT',2026,1,5,4,38,41)",,"line.new(t260105_7,low,t260105_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260105_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/5/2026 10:09,NIFTY-06Jan2026-26300-CE,SELL,65,82.2,Traded,1.32226E+13,260105_8,1.7,107,0:21,1/5/2026 4:39,CE,"t260105_8=timestamp('GMT',2026,1,5,4,39,2)","line.new(t260105_8,low,t260105_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260105_8,low,t260105_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260105_8,low,t260105_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260105_8, high * 1.02, text=str.tostring(1.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
1/5/2026 10:36,NIFTY-06Jan2026-26300-CE,BUY,65,101.2,Traded,1.39226E+13,260105_9,,,,1/5/2026 5:06,CE,"t260105_9=timestamp('GMT',2026,1,5,5,6,33)",,"line.new(t260105_9,low,t260105_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260105_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
1/5/2026 10:40,NIFTY-06Jan2026-26300-CE,SELL,65,91.3,Traded,1.28226E+13,260105_10,-9.9,-644,4:26,1/5/2026 5:10,CE,"t260105_10=timestamp('GMT',2026,1,5,5,10,59)","line.new(t260105_10,low,t260105_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260105_10,low,t260105_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260105_10,low,t260105_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260105_10, high * 1.02, text=str.tostring(-9.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
