timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
2/10/2026 9:16,NIFTY-10Feb2026-26000-CE-NA,BUY,65,22.35,Traded,1.33226E+12,260210_1,,,,2/10/2026 3:46,CE,0,,"line.new(t260210_1,low,t260210_1,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260210_1?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 9:21,NIFTY-10Feb2026-26000-CE-NA,SELL,65,16.75,Traded,1.29226E+12,260210_2,-5.6,-364,4:35,2/10/2026 3:51,CE,"t260210_2=timestamp('GMT',2026,2,10,3,51,13)","line.new(t260210_2,low,t260210_2,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260210_2,low,t260210_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260210_2,low,t260210_2,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260210_2, high * 1.02, text=str.tostring(-5.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2/10/2026 9:48,NIFTY-10Feb2026-26100-CE-NA,BUY,195,9.05,Traded,1.11226E+13,260210_3,,,,2/10/2026 4:18,CE,"t260210_3=timestamp('GMT',2026,2,10,4,18,8)",,"line.new(t260210_3,low,t260210_3,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260210_3?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 9:50,NIFTY-10Feb2026-26100-CE-NA,SELL,195,7.1,Traded,1.22226E+13,260210_4,-2,-380,2:07,2/10/2026 4:20,CE,"t260210_4=timestamp('GMT',2026,2,10,4,20,15)","line.new(t260210_4,low,t260210_4,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260210_4,low,t260210_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260210_4,low,t260210_4,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260210_4, high * 1.02, text=str.tostring(-2.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2/10/2026 9:56,NIFTY-10Feb2026-26100-CE-NA,BUY,195,6.35,Traded,1.27226E+13,260210_5,,,,2/10/2026 4:26,CE,"t260210_5=timestamp('GMT',2026,2,10,4,26,48)",,"line.new(t260210_5,low,t260210_5,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260210_5?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 10:08,NIFTY-10Feb2026-26100-CE-NA,SELL,195,6.85,Traded,1.21226E+13,260210_6,0.5,98,11:27,2/10/2026 4:38,CE,"t260210_6=timestamp('GMT',2026,2,10,4,38,15)","line.new(t260210_6,low,t260210_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260210_6,low,t260210_6,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260210_6,low,t260210_6,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260210_6, high * 1.02, text=str.tostring(0.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
2/10/2026 10:16,NIFTY-10Feb2026-26100-CE-NA,BUY,260,6.5,Traded,1.30226E+13,260210_7,,,,2/10/2026 4:46,CE,"t260210_7=timestamp('GMT',2026,2,10,4,46,7)",,"line.new(t260210_7,low,t260210_7,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260210_7?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 10:19,NIFTY-10Feb2026-26100-CE-NA,SELL,260,7.15,Traded,1.16226E+13,260210_8,0.7,169,3:47,2/10/2026 4:49,CE,"t260210_8=timestamp('GMT',2026,2,10,4,49,54)","line.new(t260210_8,low,t260210_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260210_8,low,t260210_8,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260210_8,low,t260210_8,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260210_8, high * 1.02, text=str.tostring(0.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
2/10/2026 10:33,NIFTY-10Feb2026-26100-CE-NA,BUY,195,7.1,Traded,1.20226E+13,260210_9,,,,2/10/2026 5:03,CE,"t260210_9=timestamp('GMT',2026,2,10,5,3,27)",,"line.new(t260210_9,low,t260210_9,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260210_9?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 10:35,NIFTY-10Feb2026-26100-CE-NA,SELL,195,7.15,Traded,1.23226E+13,260210_10,0.1,10,1:41,2/10/2026 5:05,CE,"t260210_10=timestamp('GMT',2026,2,10,5,5,8)","line.new(t260210_10,low,t260210_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260210_10,low,t260210_10,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260210_10,low,t260210_10,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t260210_10, high * 1.02, text=str.tostring(0.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
2/10/2026 10:46,NIFTY-10Feb2026-26100-CE-NA,BUY,260,5.45,Traded,1.24226E+13,260210_11,,,,2/10/2026 5:16,CE,"t260210_11=timestamp('GMT',2026,2,10,5,16,38)",,"line.new(t260210_11,low,t260210_11,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260210_11?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 11:02,NIFTY-10Feb2026-26100-CE-NA,BUY,65,5.05,Traded,1.39226E+13,260210_12,,,,2/10/2026 5:32,CE,"t260210_12=timestamp('GMT',2026,2,10,5,32,6)",,"line.new(t260210_12,low,t260210_12,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t260210_12?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 11:21,NIFTY-10Feb2026-26100-CE-NA,SELL,325,3.9,Traded,1.14226E+13,260210_13,-1.5,-478,18:54,2/10/2026 5:51,CE,"t260210_13=timestamp('GMT',2026,2,10,5,51,0)","line.new(t260210_13,low,t260210_13,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t260210_13,low,t260210_13,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260210_13,low,t260210_13,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260210_13, high * 1.02, text=str.tostring(-1.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
2/10/2026 11:23,NIFTY-10Feb2026-25800-PE-NA,BUY,195,6,Traded,1.27226E+13,260210_14,,,,2/10/2026 5:53,PE,"t260210_14=timestamp('GMT',2026,2,10,5,53,23)",,"line.new(t260210_14,low,t260210_14,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,"plot(time==t260210_14?None : na, style=plot.style_circles, color=color.red,linewidth=3)"
2/10/2026 12:53,NIFTY-10Feb2026-25800-PE-NA,SELL,195,2.45,Traded,1.31226E+13,260210_15,-3.5,-692,90:10:00,2/10/2026 7:23,PE,"t260210_15=timestamp('GMT',2026,2,10,7,23,33)","line.new(t260210_15,low,t260210_15,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t260210_15,low,t260210_15,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t260210_15,low,t260210_15,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t260210_15, high * 1.02, text=str.tostring(-3.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
