timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Long_Short_Line,Order_Line,PL_Line,PL_Callout,PL_Amt
11/26/2025 9:54,NIFTY-02Dec2025-26300-CE,BUY,75,71,Traded,1.36E+13,13,,,,,11/26/2025 4:24,CE,"t13=timestamp('GMT',2025,11,26,4,24,51)",,"line.new(t13,low,t13,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t13?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 9:55,NIFTY-02Dec2025-26300-CE,SELL,75,72.3,Traded,1.33E+13,14,1.3,1.798063624,98,0:36,11/26/2025 4:25,CE,"t14=timestamp('GMT',2025,11,26,4,25,27)","line.new(t14,low,t14,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t14,low,t14,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t14,low,t14,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t14, high * 1.02, text=str.tostring(1.3), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 9:59,NIFTY-02Dec2025-26300-CE,BUY,75,72,Traded,1.35E+13,15,,,,,11/26/2025 4:29,CE,"t15=timestamp('GMT',2025,11,26,4,29,59)",,"line.new(t15,low,t15,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t15?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 10:00,NIFTY-02Dec2025-26300-CE,SELL,75,74.1,Traded,1.21E+13,16,2.1,2.834008097,158,0:41,11/26/2025 4:30,CE,"t16=timestamp('GMT',2025,11,26,4,30,40)","line.new(t16,low,t16,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t16,low,t16,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t16,low,t16,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t16, high * 1.02, text=str.tostring(2.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 10:16,NIFTY-02Dec2025-26400-CE,BUY,150,43.6,Traded,1.19E+13,17,,,,,11/26/2025 4:46,CE,"t17=timestamp('GMT',2025,11,26,4,46,38)",,"line.new(t17,low,t17,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t17?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 10:21,NIFTY-02Dec2025-26400-CE,SELL,150,41.3,Traded,1.40E+13,18,-2.3,-5.569007264,-345,4:36,11/26/2025 4:51,CE,"t18=timestamp('GMT',2025,11,26,4,51,14)","line.new(t18,low,t18,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t18,low,t18,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t18,low,t18,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t18, high * 1.02, text=str.tostring(-2.3), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
11/26/2025 10:33,NIFTY-02Dec2025-26400-CE,BUY,150,40.5,Traded,1.16E+13,19,,,,,11/26/2025 5:03,CE,"t19=timestamp('GMT',2025,11,26,5,3,26)",,"line.new(t19,low,t19,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t19?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 10:39,NIFTY-02Dec2025-26400-CE,SELL,150,43.2,Traded,1.25E+13,20,2.7,6.25,405,6:26,11/26/2025 5:09,CE,"t20=timestamp('GMT',2025,11,26,5,9,52)","line.new(t20,low,t20,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t20,low,t20,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t20,low,t20,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t20, high * 1.02, text=str.tostring(2.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 10:47,NIFTY-02Dec2025-26300-CE,BUY,75,83.5,Traded,1.15E+13,21,,,,,11/26/2025 5:17,CE,"t21=timestamp('GMT',2025,11,26,5,17,28)",,"line.new(t21,low,t21,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t21?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 10:47,NIFTY-02Dec2025-26300-CE,SELL,75,83.5,Traded,1.33E+13,22,0,0,0,0:02,11/26/2025 5:17,CE,"t22=timestamp('GMT',2025,11,26,5,17,30)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t22, high * 1.02, text=str.tostring(0.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
11/26/2025 11:05,NIFTY-02Dec2025-26400-CE,BUY,150,48.95,Traded,1.11E+13,23,,,,,11/26/2025 5:35,CE,"t23=timestamp('GMT',2025,11,26,5,35,24)",,"line.new(t23,low,t23,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t23?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 11:12,NIFTY-02Dec2025-26400-CE,SELL,150,46.225,Traded,1.20E+13,24,-2.7,-5.840995133,-405,6:39,11/26/2025 5:42,CE,"t24=timestamp('GMT',2025,11,26,5,42,3)","line.new(t24,low,t24,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t24,low,t24,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t24,low,t24,high,xloc.bar_time,extend.both,color.red,line.style_solid,2)","label.new(t24, high * 1.02, text=str.tostring(-2.7), xloc=xloc.bar_time, style=label.style_label_center, color=color.red, textcolor=color.white, size=size.small)",
11/26/2025 11:17,NIFTY-02Dec2025-26400-CE,BUY,150,48.55,Traded,1.23E+13,25,,,,,11/26/2025 5:47,CE,"t25=timestamp('GMT',2025,11,26,5,47,39)",,"line.new(t25,low,t25,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t25?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 11:18,NIFTY-02Dec2025-26400-CE,SELL,150,50.7,Traded,1.29E+13,26,2.2,4.339250493,330,0:49,11/26/2025 5:48,CE,"t26=timestamp('GMT',2025,11,26,5,48,28)","line.new(t26,low,t26,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t26,low,t26,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t26,low,t26,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t26, high * 1.02, text=str.tostring(2.2), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 11:49,NIFTY-02Dec2025-26400-CE,BUY,150,47.15,Traded,1.20E+13,27,,,,,11/26/2025 6:19,CE,"t27=timestamp('GMT',2025,11,26,6,19,22)",,"line.new(t27,low,t27,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t27?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 11:59,NIFTY-02Dec2025-26400-CE,SELL,150,49.15,Traded,1.27E+13,28,2,,300,9:40,11/26/2025 6:29,CE,"t28=timestamp('GMT',2025,11,26,6,29,2)","line.new(t28,low,t28,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t28,low,t28,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t28,low,t28,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t28, high * 1.02, text=str.tostring(2.0), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 12:35,NIFTY-02Dec2025-26400-CE,BUY,150,52.3,Traded,1.39E+13,29,,,,,11/26/2025 7:05,CE,"t29=timestamp('GMT',2025,11,26,7,5,44)",,"line.new(t29,low,t29,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t29?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 12:42,NIFTY-02Dec2025-26400-CE,SELL,150,53.35,Traded,1.19E+14,30,1.1,,165,6:39,11/26/2025 7:12,CE,"t30=timestamp('GMT',2025,11,26,7,12,23)","line.new(t30,low,t30,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t30,low,t30,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t30,low,t30,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t30, high * 1.02, text=str.tostring(1.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 12:55,NIFTY-02Dec2025-26500-CE,BUY,75,29.9,Traded,1.29E+13,31,,,,,11/26/2025 7:25,CE,"t31=timestamp('GMT',2025,11,26,7,25,40)",,"line.new(t31,low,t31,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t31?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
11/26/2025 13:01,NIFTY-02Dec2025-26500-CE,SELL,75,30.8,Traded,1.39E+13,32,0.9,,68,6:17,11/26/2025 7:31,CE,"t32=timestamp('GMT',2025,11,26,7,31,57)","line.new(t32,low,t32,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t32,low,t32,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t32,low,t32,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t32, high * 1.02, text=str.tostring(0.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)",
11/26/2025 13:30,NIFTY-02Dec2025-26600-CE,BUY,450,18.5,Traded,1.18E+14,33,,,,,11/26/2025 8:00,CE,"t33=timestamp('GMT',2025,11,26,8,0,15)",,"line.new(t33,low,t33,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,"plot(time==t33?nan : na, style=plot.style_circles, color=color.red,linewidth=3)"
