2025-10-17 14:39:17:185 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:186 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:17:246 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45275: Setting 'ltp' to 31.1 | 
2025-10-17 14:39:17:247 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:248 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 31.1 | 
2025-10-17 14:39:17:248 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:249 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 2 | 
2025-10-17 14:39:17:250 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45282: Setting 'ltp' to 59.7 | 
2025-10-17 14:39:17:250 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:251 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 59.7 | 
2025-10-17 14:39:17:252 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:254 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 1 | 
2025-10-17 14:39:17:254 | INFO     | trade_logic.py            | position_data_update      | Updating position 45283: Setting 'latest_price' to 104.0 | 
2025-10-17 14:39:17:255 | DEBUG    | trade_logic.py            | calculate_point_difference | Calculating point difference: Buy Price = 257.15, Current Price = 104.0 | 
2025-10-17 14:39:17:255 | DEBUG    | trade_logic.py            | calculate_pctg_difference | Calculating percentage difference: Buy Price = 257.15, Current Price = 104.0 | 
2025-10-17 14:39:17:256 | DEBUG    | trade_logic.py            | position_data_update      | Updated 45283:latest_price to 104.0 | 
2025-10-17 14:39:17:256 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45283: Setting 'ltp' to 104.0 | 
2025-10-17 14:39:17:257 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:257 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 104.0 | 
2025-10-17 14:39:17:258 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:258 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:17:293 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45287: Setting 'ltp' to 171.5 | 
2025-10-17 14:39:17:293 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:294 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 171.5 | 
2025-10-17 14:39:17:294 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:295 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:17:295 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45286: Setting 'ltp' to 26.45 | 
2025-10-17 14:39:17:296 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:297 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 26.45 | 
2025-10-17 14:39:17:297 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:298 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 3 | 
2025-10-17 14:39:17:449 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45278: Setting 'ltp' to 113.65 | 
2025-10-17 14:39:17:450 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:452 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 113.65 | 
2025-10-17 14:39:17:452 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:453 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:17:454 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45279: Setting 'ltp' to 57.5 | 
2025-10-17 14:39:17:455 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:456 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 57.5 | 
2025-10-17 14:39:17:458 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:459 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 1 | 
2025-10-17 14:39:17:657 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45268: Setting 'ltp' to 273.55 | 
2025-10-17 14:39:17:657 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:658 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 273.55 | 
2025-10-17 14:39:17:658 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:659 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 0 | 
2025-10-17 14:39:17:659 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45269: Setting 'ltp' to 18.1 | 
2025-10-17 14:39:17:660 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Cash Balance 6562.1 | 
2025-10-17 14:39:17:660 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining LTP 18.1 | 
2025-10-17 14:39:17:661 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining Lot size 75 | 
2025-10-17 14:39:17:662 | INFO     | trade_logic.py            | update_weekly_positions   |  Determining No. of Lots 4 | 
2025-10-17 14:39:18:801 | INFO     | trade_logic.py            | update_weekly_positions   | Updating weekly option 45275: Setting 'ltp' to 31.2 | 
