timestamp,tradingsymbol,transaction_type,quantity,average_price,order_status,order_id,SeqNo,PL_RATE,PL_AMOUNT,P&L Time,timestamp_gmt,suffix,Order_Time_Line,Order_Line,Long_Short_Line,PL_Line,PL_Callout
11/21/2025 11:11,NIFTY-25Nov2025-26300-CE,BUY,75,37,Traded,1.15225E+13,21,,,,11/21/2025 5:41,CE,"t21=timestamp('GMT',2025,11,21,5,41,24)","line.new(t21,low,t21,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 11:15,NIFTY-25Nov2025-26300-CE,SELL,75,40.55,Traded,1.31225E+13,22,3.5,262,3:36,11/21/2025 5:45,CE,"t22=timestamp('GMT',2025,11,21,5,45,0)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t22,low,t22,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t22, high * 1.02, text=str.tostring(3.5), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 11:27,NIFTY-25Nov2025-26300-CE,BUY,75,37.85,Traded,1.15225E+13,23,,,,11/21/2025 5:57,CE,"t23=timestamp('GMT',2025,11,21,5,57,51)","line.new(t23,low,t23,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 12:05,NIFTY-25Nov2025-26300-CE,SELL,75,40.25,Traded,1.19225E+13,24,2.4,180,38:02:00,11/21/2025 6:35,CE,"t24=timestamp('GMT',2025,11,21,6,35,53)","line.new(t24,low,t24,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t24,low,t24,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t24,low,t24,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t24, high * 1.02, text=str.tostring(2.4), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 12:13,NIFTY-25Nov2025-26300-CE,BUY,75,42.2,Traded,1.21225E+13,25,,,,11/21/2025 6:43,CE,"t25=timestamp('GMT',2025,11,21,6,43,42)","line.new(t25,low,t25,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 12:15,NIFTY-25Nov2025-26300-CE,SELL,75,42.3,Traded,1.28225E+13,26,0.1,8,1:48,11/21/2025 6:45,CE,"t26=timestamp('GMT',2025,11,21,6,45,30)","line.new(t26,low,t26,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t26,low,t26,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t26,low,t26,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t26, high * 1.02, text=str.tostring(0.1), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 12:49,NIFTY-25Nov2025-26300-CE,BUY,75,51.1,Traded,1.19225E+13,27,,,,11/21/2025 7:19,CE,"t27=timestamp('GMT',2025,11,21,7,19,11)","line.new(t27,low,t27,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)",,,
11/21/2025 12:51,NIFTY-25Nov2025-26300-CE,SELL,75,58,Traded,1.15225E+13,28,6.9,518,1:57,11/21/2025 7:21,CE,"t28=timestamp('GMT',2025,11,21,7,21,8)","line.new(t28,low,t28,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t28,low,t28,high,xloc.bar_time,extend.both,color.green,line.style_solid,1)","line.new(t28,low,t28,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t28, high * 1.02, text=str.tostring(6.9), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
11/21/2025 13:21,NIFTY-25Nov2025-25900-PE,BUY,150,31.25,Traded,1.32225E+13,29,,,,11/21/2025 7:51,PE,"t29=timestamp('GMT',2025,11,21,7,51,11)","line.new(t29,low,t29,high,xloc.bar_time,extend.both,color.yellow,line.style_solid,2)",,,
11/21/2025 13:23,NIFTY-25Nov2025-25900-PE,SELL,150,31.8,Traded,1.35225E+13,30,0.6,90,2:38,11/21/2025 7:53,PE,"t30=timestamp('GMT',2025,11,21,7,53,49)","line.new(t30,low,t30,high,xloc.bar_time,extend.both,color.blue,line.style_solid,1)","line.new(t30,low,t30,high,xloc.bar_time,extend.both,color.red,line.style_solid,1)","line.new(t30,low,t30,high,xloc.bar_time,extend.both,color.green,line.style_solid,2)","label.new(t30, high * 1.02, text=str.tostring(0.6), xloc=xloc.bar_time, style=label.style_label_center, color=color.green, textcolor=color.white, size=size.small)"
