time,open,high,low,close
2026-09-10T09:15:00+05:30,167.5,179,153.05,166.7625
2026-09-10T09:15:01+05:30,167.13125,167.13125,147.35,149.975
2026-09-10T09:15:03+05:30,158.553125,158.553125,150,150
2026-09-10T09:15:04+05:30,154.2765625,154.2765625,146.55,147.9
2026-09-10T09:15:06+05:30,151.0882813,155.85,151.0882813,155.85
2026-09-10T09:15:07+05:30,153.4691406,161.15,153.4691406,161.15
2026-09-10T09:15:09+05:30,157.3095703,166.45,157.3095703,166.45
2026-09-10T09:15:11+05:30,161.8797852,170.5,161.8797852,170.5
2026-09-10T09:15:12+05:30,166.1898926,173.6,166.1898926,173.6
2026-09-10T09:15:14+05:30,169.8949463,179.25,169.8949463,178.375
2026-09-10T09:15:15+05:30,174.1349731,185,174.1349731,183.6
2026-09-10T09:15:17+05:30,178.8674866,186.05,178.8674866,185.8
2026-09-10T09:15:19+05:30,182.3337433,191.4,182.3337433,190.15
2026-09-10T09:15:20+05:30,186.2418716,191.65,186.2418716,191.325
2026-09-10T09:15:22+05:30,188.7834358,192,188.4,190.2
2026-09-10T09:15:23+05:30,189.4917179,189.4917179,179.6,179.6
2026-09-10T09:15:25+05:30,184.545859,184.545859,179.1,179.1
2026-09-10T09:15:27+05:30,181.8229295,181.8229295,175.05,175.05
2026-09-10T09:15:28+05:30,178.4364647,178.4364647,177.5,177.5
2026-09-10T09:15:30+05:30,177.9682324,180.6,177.9682324,180.6
2026-09-10T09:15:31+05:30,179.2841162,183.45,179.2841162,183.45
2026-09-10T09:15:33+05:30,181.3670581,181.3670581,175.8,175.8
2026-09-10T09:15:35+05:30,178.583529,178.583529,174.65,174.65
2026-09-10T09:15:36+05:30,176.6167645,176.6167645,175.55,175.55
2026-09-10T09:15:38+05:30,176.0833823,176.0833823,175.4,175.4
2026-09-10T09:15:39+05:30,175.7416911,175.7416911,174.45,174.45
2026-09-10T09:15:41+05:30,175.0958456,176.4,175.0958456,176.4
2026-09-10T09:15:42+05:30,175.7479228,180.75,175.7479228,180.75
2026-09-10T09:15:44+05:30,178.2489614,181.25,178.2489614,181.25
2026-09-10T09:15:45+05:30,179.7494807,179.7494807,179.15,179.15
2026-09-10T09:15:47+05:30,179.4497403,179.4497403,174.6,174.6
2026-09-10T09:15:49+05:30,177.0248702,177.0248702,175.95,175.95
2026-09-10T09:15:50+05:30,176.4874351,176.4874351,175.95,175.95
2026-09-10T09:15:52+05:30,176.2187175,176.4,176.2187175,176.4
2026-09-10T09:15:53+05:30,176.3093588,176.3093588,174.55,174.55
2026-09-10T09:15:55+05:30,175.4296794,175.4296794,175.2,175.2
2026-09-10T09:15:56+05:30,175.3148397,175.3148397,175.2,175.2
2026-09-10T09:15:58+05:30,175.2574198,176.2,175.2574198,176.2
2026-09-10T09:16:00+05:30,175.7287099,175.7287099,173.95,173.95
2026-09-10T09:16:01+05:30,174.839355,174.839355,171,171
2026-09-10T09:16:03+05:30,172.9196775,172.9196775,171.85,171.85
2026-09-10T09:16:04+05:30,172.3848387,172.3848387,169.3,169.3
2026-09-10T09:16:06+05:30,170.8424194,170.8424194,168.25,168.25
2026-09-10T09:16:08+05:30,169.5462097,169.5462097,167.6,167.6
2026-09-10T09:16:09+05:30,168.5731048,169.25,168.5731048,169.25
2026-09-10T09:16:11+05:30,168.9115524,171.2,168.9115524,171.2
2026-09-10T09:16:13+05:30,170.0557762,170.15,170.0557762,170.15
2026-09-10T09:16:14+05:30,170.1028881,172.15,170.1028881,172.15
2026-09-10T09:16:16+05:30,171.1264441,172.95,171.1264441,172.95
2026-09-10T09:16:18+05:30,172.038222,173.3,172.038222,173.3
2026-09-10T09:16:19+05:30,172.669111,174,172.669111,174
2026-09-10T09:16:21+05:30,173.3345555,173.3345555,170.85,170.85
2026-09-10T09:16:23+05:30,172.0922778,172.0922778,170.5,170.5
2026-09-10T09:16:24+05:30,171.2961389,171.2961389,170.5,170.5
2026-09-10T09:16:26+05:30,170.8980694,170.8980694,169.5,169.5
2026-09-10T09:16:28+05:30,170.1990347,170.3,170.1990347,170.3
2026-09-10T09:16:29+05:30,170.2495174,170.2495174,170.05,170.05
2026-09-10T09:16:31+05:30,170.1497587,170.1497587,169.55,169.55
2026-09-10T09:16:33+05:30,169.8498793,170.9,169.8498793,170.9
2026-09-10T09:16:34+05:30,170.3749397,170.3749397,169.55,169.55
2026-09-10T09:16:36+05:30,169.9624698,169.9624698,168.95,168.95
2026-09-10T09:16:38+05:30,169.4562349,169.85,169.4562349,169.85
2026-09-10T09:16:39+05:30,169.6531175,169.9,169.6531175,169.9
2026-09-10T09:16:41+05:30,169.7765587,171,169.7765587,171
2026-09-10T09:16:43+05:30,170.3882794,170.3882794,170.3,170.3
2026-09-10T09:16:44+05:30,170.3441397,171,170.3441397,171
2026-09-10T09:16:46+05:30,170.6720698,170.6720698,169.55,169.55
2026-09-10T09:16:48+05:30,170.1110349,170.1110349,168,168
2026-09-10T09:16:49+05:30,169.0555175,169.0555175,166,166
2026-09-10T09:16:51+05:30,167.5277587,167.5277587,163.95,163.95
2026-09-10T09:16:53+05:30,165.7388794,165.7388794,164.1,164.1
2026-09-10T09:16:54+05:30,164.9194397,164.9194397,163.15,163.15
2026-09-10T09:16:56+05:30,164.0347198,164.0347198,161.7,161.7
2026-09-10T09:16:58+05:30,162.8673599,162.8673599,162.35,162.35
2026-09-10T09:16:59+05:30,162.60868,163.1,162.60868,163.1
2026-09-10T09:17:01+05:30,162.85434,164.1,162.85434,164.1
2026-09-10T09:17:03+05:30,163.47717,163.47717,163.2,163.2
2026-09-10T09:17:04+05:30,163.338585,163.338585,161.2,161.2
2026-09-10T09:17:06+05:30,162.2692925,162.2692925,160.4,160.4
2026-09-10T09:17:08+05:30,161.3346462,161.3346462,161.1,161.1
2026-09-10T09:17:09+05:30,161.2173231,162.5,161.2173231,162.5
2026-09-10T09:17:11+05:30,161.8586616,164.3,161.8586616,164.3
2026-09-10T09:17:12+05:30,163.0793308,163.65,163.0793308,163.65
2026-09-10T09:17:14+05:30,163.3646654,164.1,163.3646654,164.1
2026-09-10T09:17:16+05:30,163.7323327,163.7323327,163.15,163.15
2026-09-10T09:17:17+05:30,163.4411663,163.4411663,163.4,163.4
2026-09-10T09:17:19+05:30,163.4205832,164.1,163.4205832,164.1
2026-09-10T09:17:21+05:30,163.7602916,163.8,163.7602916,163.8
2026-09-10T09:17:22+05:30,163.7801458,168,163.7801458,168
2026-09-10T09:17:24+05:30,165.8900729,168,165.8900729,168
2026-09-10T09:17:26+05:30,166.9450364,168.4,166.9450364,168.4
2026-09-10T09:17:27+05:30,167.6725182,167.6725182,166.4,166.4
2026-09-10T09:17:29+05:30,167.0362591,167.2,167.0362591,167.2
2026-09-10T09:17:31+05:30,167.1181296,169,167.1181296,169
2026-09-10T09:17:32+05:30,168.0590648,170.65,168.0590648,170.65
2026-09-10T09:17:34+05:30,169.3545324,170.2,169.3545324,170.2
2026-09-10T09:17:36+05:30,169.7772662,170.4,169.7772662,170.4
2026-09-10T09:17:37+05:30,170.0886331,171,170.0886331,171
2026-09-10T09:17:39+05:30,170.5443165,170.5443165,169.95,169.95
2026-09-10T09:17:41+05:30,170.2471583,171.15,170.2471583,171.15
2026-09-10T09:17:42+05:30,170.6985791,172.6,170.6985791,172.6
2026-09-10T09:17:44+05:30,171.6492896,171.85,171.6492896,171.85
2026-09-10T09:17:46+05:30,171.7496448,172.5,171.7496448,172.5
2026-09-10T09:17:47+05:30,172.1248224,173.85,172.1248224,173.85
2026-09-10T09:17:49+05:30,172.9874112,174.45,172.9874112,174.45
2026-09-10T09:17:51+05:30,173.7187056,174.9,173.7187056,174.9
2026-09-10T09:17:52+05:30,174.3093528,177.05,174.3093528,177.05
2026-09-10T09:17:54+05:30,175.6796764,175.6796764,175.15,175.15
2026-09-10T09:17:56+05:30,175.4148382,175.85,175.4148382,175.85
2026-09-10T09:17:57+05:30,175.6324191,175.6324191,175.5,175.5
2026-09-10T09:17:59+05:30,175.5662095,178.05,175.5662095,178.05
2026-09-10T09:18:01+05:30,176.8081048,178.3,176.8081048,178.3
2026-09-10T09:18:02+05:30,177.5540524,179.2,177.5540524,179.2
2026-09-10T09:18:04+05:30,178.3770262,179,178.3770262,179
2026-09-10T09:18:06+05:30,178.6885131,178.6885131,177.8,177.8
2026-09-10T09:18:07+05:30,178.2442565,178.65,178.2442565,178.65
2026-09-10T09:18:09+05:30,178.4471283,179.35,178.4471283,179.35
2026-09-10T09:18:11+05:30,178.8985641,179.8,178.8985641,179.8
2026-09-10T09:18:12+05:30,179.3492821,180.3,179.3492821,180.3
2026-09-10T09:18:14+05:30,179.824641,179.9,179.824641,179.9
2026-09-10T09:18:15+05:30,179.8623205,179.8623205,179.25,179.25
2026-09-10T09:18:17+05:30,179.5561603,183.8,179.5561603,183.8
2026-09-10T09:18:19+05:30,181.6780801,181.7,181.6780801,181.7
2026-09-10T09:18:20+05:30,181.6890401,182.35,181.6890401,182.35
2026-09-10T09:18:22+05:30,182.01952,183.5,182.01952,183.5
2026-09-10T09:18:24+05:30,182.75976,182.75976,181.85,181.85
2026-09-10T09:18:25+05:30,182.30488,182.30488,178.7,178.7
2026-09-10T09:18:27+05:30,180.50244,180.50244,180.35,180.35
2026-09-10T09:18:29+05:30,180.42622,181.2,180.42622,181.2
2026-09-10T09:18:30+05:30,180.81311,180.81311,180.3,180.3
2026-09-10T09:18:32+05:30,180.556555,180.556555,179.85,179.85
2026-09-10T09:18:34+05:30,180.2032775,180.2032775,179.2,179.2
2026-09-10T09:18:35+05:30,179.7016388,179.7016388,178.8,178.8
2026-09-10T09:18:37+05:30,179.2508194,180.85,179.2508194,180.85
2026-09-10T09:18:39+05:30,180.0504097,180.0504097,179,179
2026-09-10T09:18:40+05:30,179.5252048,179.65,179.5252048,179.65
2026-09-10T09:18:42+05:30,179.5876024,179.7,179.5876024,179.7
2026-09-10T09:18:44+05:30,179.6438012,179.6438012,179.4,179.4
2026-09-10T09:18:45+05:30,179.5219006,179.7,179.5219006,179.7
2026-09-10T09:18:47+05:30,179.6109503,179.6109503,179.5,179.5
2026-09-10T09:18:49+05:30,179.5554752,179.5554752,179.25,179.25
2026-09-10T09:18:50+05:30,179.4027376,179.4027376,179.1,179.1
2026-09-10T09:18:52+05:30,179.2513688,179.2513688,179.25,179.25
2026-09-10T09:18:54+05:30,179.2506844,179.3,179.2506844,179.3
2026-09-10T09:18:55+05:30,179.2753422,180.95,179.2753422,180.95
2026-09-10T09:18:57+05:30,180.1126711,181.4,180.1126711,181.4
2026-09-10T09:18:59+05:30,180.7563355,181.85,180.7563355,181.85
2026-09-10T09:19:01+05:30,181.3031678,181.3031678,180.3,180.3
2026-09-10T09:19:02+05:30,180.8015839,180.8015839,178.65,178.65
2026-09-10T09:19:04+05:30,179.7257919,179.7257919,177.65,177.65
2026-09-10T09:19:06+05:30,178.687896,178.687896,177.65,177.65
2026-09-10T09:19:07+05:30,178.168948,178.8,178.168948,178.8
2026-09-10T09:19:09+05:30,178.484474,179.55,178.484474,179.55
2026-09-10T09:19:10+05:30,179.017237,180.3,179.017237,180.3
2026-09-10T09:19:12+05:30,179.6586185,180.55,179.6586185,180.55
2026-09-10T09:19:14+05:30,180.1043092,180.1043092,178.75,178.75
2026-09-10T09:19:15+05:30,179.4271546,179.4271546,177.6,177.6
2026-09-10T09:19:17+05:30,178.5135773,178.5135773,176.85,176.85
2026-09-10T09:19:19+05:30,177.6817887,177.6817887,175.2,175.2
2026-09-10T09:19:20+05:30,176.4408943,176.4408943,174.2,174.2
2026-09-10T09:19:22+05:30,175.3204472,175.3204472,174.6,174.6
2026-09-10T09:19:24+05:30,174.9602236,174.9602236,174.1,174.1
2026-09-10T09:19:25+05:30,174.5301118,175.95,174.5301118,175.95
2026-09-10T09:19:27+05:30,175.2400559,176.5,175.2400559,176.5
2026-09-10T09:19:29+05:30,175.8700279,176,175.8700279,176
2026-09-10T09:19:30+05:30,175.935014,176.65,175.935014,176.65
2026-09-10T09:19:32+05:30,176.292507,176.4,176.292507,176.4
2026-09-10T09:19:34+05:30,176.3462535,176.9,176.3462535,176.9
2026-09-10T09:19:35+05:30,176.6231267,176.6231267,176.4,176.4
2026-09-10T09:19:37+05:30,176.5115634,176.5115634,175,175
2026-09-10T09:19:39+05:30,175.7557817,175.7557817,174.1,174.1
2026-09-10T09:19:40+05:30,174.9278908,174.9278908,172.3,172.3
2026-09-10T09:19:42+05:30,173.6139454,173.6139454,171.65,171.65
2026-09-10T09:19:44+05:30,172.6319727,172.6319727,171.45,171.45
2026-09-10T09:19:45+05:30,172.0409864,172.0409864,171.4,171.4
2026-09-10T09:19:47+05:30,171.7204932,171.8,171.7204932,171.8
2026-09-10T09:19:49+05:30,171.7602466,172.25,171.7602466,172.25
2026-09-10T09:19:50+05:30,172.0051233,172.0051233,171.4,171.4
2026-09-10T09:19:52+05:30,171.7025616,171.7025616,170.75,170.75
2026-09-10T09:19:54+05:30,171.2262808,171.75,171.2262808,171.75
2026-09-10T09:19:55+05:30,171.4881404,174.75,171.4881404,174.75
